Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"02102108","86000US02108","ZCTA5 02108","ZCTA5 02108","us","860","00","ACSSF","0011048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02108",,,,,,,,,,,,,4082,4082,1979,2103,4082,3881,3372,188,5,151,0,27,138,201,156,0,0,0,0,41,4
"02102109","86000US02109","ZCTA5 02109","ZCTA5 02109","us","860","00","ACSSF","0011049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02109",,,,,,,,,,,,,3853,3853,2139,1714,3853,3711,3166,144,0,313,0,64,24,142,72,26,0,0,0,9,35
"02102110","86000US02110","ZCTA5 02110","ZCTA5 02110","us","860","00","ACSSF","0011050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02110",,,,,,,,,,,,,2449,2449,1008,1441,2449,2414,1972,28,0,128,107,17,162,35,35,0,0,0,0,0,0
"02102111","86000US02111","ZCTA5 02111","ZCTA5 02111","us","860","00","ACSSF","0011051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02111",,,,,,,,,,,,,7926,7926,3727,4199,7926,7486,2767,311,39,4242,0,0,127,440,308,15,0,0,0,73,44
"02102113","86000US02113","ZCTA5 02113","ZCTA5 02113","us","860","00","ACSSF","0011052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02113",,,,,,,,,,,,,7531,7531,3879,3652,7531,6943,6677,25,16,124,0,43,58,588,413,12,0,0,0,132,31
"02102114","86000US02114","ZCTA5 02114","ZCTA5 02114","us","860","00","ACSSF","0011053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02114",,,,,,,,,,,,,13516,13516,6860,6656,13516,11919,9765,551,8,1336,0,15,244,1597,1045,83,0,0,0,437,32
"02102115","86000US02115","ZCTA5 02115","ZCTA5 02115","us","860","00","ACSSF","0011054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02115",,,,,,,,,,,,,29108,29108,14410,14698,29108,24708,16959,2268,24,4525,18,154,760,4400,1945,378,13,74,15,1862,113
"02102116","86000US02116","ZCTA5 02116","ZCTA5 02116","us","860","00","ACSSF","0011055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02116",,,,,,,,,,,,,23118,23118,10850,12268,23118,21372,15952,1341,44,3297,0,62,676,1746,1394,25,0,23,0,256,48
"02102118","86000US02118","ZCTA5 02118","ZCTA5 02118","us","860","00","ACSSF","0011056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02118",,,,,,,,,,,,,27830,27830,14032,13798,27830,22737,12753,4981,19,4070,0,143,771,5093,2122,474,72,19,0,1997,409
"02102119","86000US02119","ZCTA5 02119","ZCTA5 02119","us","860","00","ACSSF","0011057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02119",,,,,,,,,,,,,28199,28199,13453,14746,28199,19827,3384,14114,356,974,0,429,570,8372,1203,1555,66,0,7,4575,966
"02102120","86000US02120","ZCTA5 02120","ZCTA5 02120","us","860","00","ACSSF","0011058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02120",,,,,,,,,,,,,14928,14928,7729,7199,14928,11355,5413,3011,35,2625,0,104,167,3573,1302,391,0,23,0,1703,154
"02102121","86000US02121","ZCTA5 02121","ZCTA5 02121","us","860","00","ACSSF","0011059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02121",,,,,,,,,,,,,29919,29919,13592,16327,29919,20511,860,18534,0,164,0,432,521,9408,1849,1701,0,0,0,4341,1517
"02102122","86000US02122","ZCTA5 02122","ZCTA5 02122","us","860","00","ACSSF","0011060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02122",,,,,,,,,,,,,25059,25059,12434,12625,25059,22169,7840,7532,34,5303,0,977,483,2890,888,422,0,0,0,1451,129
"02102124","86000US02124","ZCTA5 02124","ZCTA5 02124","us","860","00","ACSSF","0011061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02124",,,,,,,,,,,,,55821,55821,25276,30545,55821,46075,9309,31205,196,3515,0,334,1516,9746,3976,3396,168,0,0,1732,474
"02102125","86000US02125","ZCTA5 02125","ZCTA5 02125","us","860","00","ACSSF","0011062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02125",,,,,,,,,,,,,34358,34358,17211,17147,34358,26964,10258,10705,85,3795,0,942,1179,7394,1820,1216,45,44,0,3683,586
"02102126","86000US02126","ZCTA5 02126","ZCTA5 02126","us","860","00","ACSSF","0011063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02126",,,,,,,,,,,,,29591,29591,13954,15637,29591,24905,1213,22560,50,262,0,237,583,4686,1177,2309,0,78,0,808,314
"02102127","86000US02127","ZCTA5 02127","ZCTA5 02127","us","860","00","ACSSF","0011064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02127",,,,,,,,,,,,,36898,36898,18032,18866,36898,33068,28489,2273,62,1650,0,113,481,3830,1759,401,0,42,0,1312,316
"02102128","86000US02128","ZCTA5 02128","ZCTA5 02128","us","860","00","ACSSF","0011065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02128",,,,,,,,,,,,,46927,46927,24990,21937,46927,20476,15569,1267,21,2267,13,129,1210,26451,13385,207,95,20,0,1916,10828
"02102129","86000US02129","ZCTA5 02129","ZCTA5 02129","us","860","00","ACSSF","0011066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02129",,,,,,,,,,,,,19414,19414,8754,10660,19414,17130,14206,1006,0,1546,0,10,362,2284,1062,462,0,0,0,540,220
"02102130","86000US02130","ZCTA5 02130","ZCTA5 02130","us","860","00","ACSSF","0011067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02130",,,,,,,,,,,,,40377,40377,18889,21488,40377,31428,22868,4439,7,2494,0,256,1364,8949,3602,1146,120,65,0,3669,347
"02102131","86000US02131","ZCTA5 02131","ZCTA5 02131","us","860","00","ACSSF","0011068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02131",,,,,,,,,,,,,33771,33771,15427,18344,33771,24927,15865,7386,181,691,0,150,654,8844,3761,1404,78,0,0,3123,478
"02102132","86000US02132","ZCTA5 02132","ZCTA5 02132","us","860","00","ACSSF","0011069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02132",,,,,,,,,,,,,28487,28487,13080,15407,28487,26358,21877,1912,0,1967,0,40,562,2129,1312,98,9,0,0,681,29
"02102134","86000US02134","ZCTA5 02134","ZCTA5 02134","us","860","00","ACSSF","0011070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02134",,,,,,,,,,,,,19424,19424,10118,9306,19424,17044,10655,756,83,4869,0,261,420,2380,938,138,13,54,0,1124,113
"02102135","86000US02135","ZCTA5 02135","ZCTA5 02135","us","860","00","ACSSF","0011071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02135",,,,,,,,,,,,,44760,44760,21717,23043,44760,39372,29455,1764,95,6430,87,631,910,5388,2653,373,29,55,0,2141,137
"02102136","86000US02136","ZCTA5 02136","ZCTA5 02136","us","860","00","ACSSF","0011072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02136",,,,,,,,,,,,,34223,34223,16132,18091,34223,24945,8695,14586,20,614,0,324,706,9278,4060,825,72,0,0,3562,759
"02102138","86000US02138","ZCTA5 02138","ZCTA5 02138","us","860","00","ACSSF","0011073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02138",,,,,,,,,,,,,38835,38835,18805,20030,38835,35568,25961,1912,27,5908,12,169,1579,3267,2303,199,4,47,14,459,241
"02102139","86000US02139","ZCTA5 02139","ZCTA5 02139","us","860","00","ACSSF","0011074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02139",,,,,,,,,,,,,38272,38272,19218,19054,38272,34905,22910,4442,78,6025,49,115,1286,3367,1984,448,38,7,0,526,364
"02102140","86000US02140","ZCTA5 02140","ZCTA5 02140","us","860","00","ACSSF","0011075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02140",,,,,,,,,,,,,21338,21338,10122,11216,21338,19712,11673,4381,11,3214,0,60,373,1626,1231,98,4,0,0,238,55
"02102141","86000US02141","ZCTA5 02141","ZCTA5 02141","us","860","00","ACSSF","0011076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02141",,,,,,,,,,,,,14052,14052,7367,6685,14052,11930,8139,981,25,2313,15,24,433,2122,1413,82,0,5,0,449,173
"02102142","86000US02142","ZCTA5 02142","ZCTA5 02142","us","860","00","ACSSF","0011077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02142",,,,,,,,,,,,,3294,3294,1636,1658,3294,2947,1671,143,0,956,0,0,177,347,269,39,0,0,0,6,33
"02102143","86000US02143","ZCTA5 02143","ZCTA5 02143","us","860","00","ACSSF","0011078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02143",,,,,,,,,,,,,26151,26151,12674,13477,26151,23809,18205,1018,71,3076,0,353,1086,2342,1784,144,32,13,0,214,155
"02102144","86000US02144","ZCTA5 02144","ZCTA5 02144","us","860","00","ACSSF","0011079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02144",,,,,,,,,,,,,25277,25277,12880,12397,25277,23955,20726,882,4,1679,11,16,637,1322,794,135,0,41,0,213,139
"02102145","86000US02145","ZCTA5 02145","ZCTA5 02145","us","860","00","ACSSF","0011080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02145",,,,,,,,,,,,,26868,26868,13867,13001,26868,22079,15769,2858,0,2634,0,209,609,4789,2413,259,5,11,0,1727,374
"02102148","86000US02148","ZCTA5 02148","ZCTA5 02148","us","860","00","ACSSF","0011081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02148",,,,,,,,,,,,,61354,61354,29408,31946,61354,55660,28778,10050,15,14277,17,704,1819,5694,4215,468,0,4,0,870,137
"02102149","86000US02149","ZCTA5 02149","ZCTA5 02149","us","860","00","ACSSF","0011082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02149",,,,,,,,,,,,,45596,45596,22379,23217,45596,33463,20415,7949,10,3161,3,484,1441,12133,6709,552,428,0,57,3534,853
"02102150","86000US02150","ZCTA5 02150","ZCTA5 02150","us","860","00","ACSSF","0011083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02150",,,,,,,,,,,,,39842,39842,20344,19498,39842,13197,8558,2318,0,1192,0,205,924,26645,11669,419,41,86,0,3001,11429
"02102151","86000US02151","ZCTA5 02151","ZCTA5 02151","us","860","00","ACSSF","0011084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02151",,,,,,,,,,,,,53976,53976,27229,26747,53976,36450,29402,2793,37,2530,0,610,1078,17526,13247,261,84,14,0,2004,1916
"02102152","86000US02152","ZCTA5 02152","ZCTA5 02152","us","860","00","ACSSF","0011085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02152",,,,,,,,,,,,,18535,18535,8498,10037,18535,16897,16263,231,0,114,0,37,252,1638,1039,138,9,0,0,259,193
"02102155","86000US02155","ZCTA5 02155","ZCTA5 02155","us","860","00","ACSSF","0011086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02155",,,,,,,,,,,,,59793,59793,28632,31161,59793,56585,42551,5483,27,6471,20,462,1571,3208,2152,91,53,52,25,447,388
"02102163","86000US02163","ZCTA5 02163","ZCTA5 02163","us","860","00","ACSSF","0011087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02163",,,,,,,,,,,,,2401,2401,1157,1244,2401,2076,1318,75,8,581,0,13,81,325,263,24,0,10,0,28,0
"02102169","86000US02169","ZCTA5 02169","ZCTA5 02169","us","860","00","ACSSF","0011088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02169",,,,,,,,,,,,,56584,56584,26826,29758,56584,54378,35254,3346,40,14477,8,285,968,2206,1401,142,0,18,0,488,157
"02102170","86000US02170","ZCTA5 02170","ZCTA5 02170","us","860","00","ACSSF","0011089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02170",,,,,,,,,,,,,19367,19367,9920,9447,19367,19180,9965,700,128,7955,147,25,260,187,108,1,0,0,0,70,8
"02102171","86000US02171","ZCTA5 02171","ZCTA5 02171","us","860","00","ACSSF","0011090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02171",,,,,,,,,,,,,18170,18170,8920,9250,18170,17717,9834,639,0,6867,0,49,328,453,263,42,16,60,0,30,42
"02102176","86000US02176","ZCTA5 02176","ZCTA5 02176","us","860","00","ACSSF","0011091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02176",,,,,,,,,,,,,28116,28116,13525,14591,28116,27063,24154,740,0,1670,0,0,499,1053,828,0,0,0,0,154,71
"02102180","86000US02180","ZCTA5 02180","ZCTA5 02180","us","860","00","ACSSF","0011092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02180",,,,,,,,,,,,,22144,22144,10815,11329,22144,21317,19703,580,0,727,0,136,171,827,699,22,0,0,0,106,0
"02102184","86000US02184","ZCTA5 02184","ZCTA5 02184","us","860","00","ACSSF","0011093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02184",,,,,,,,,,,,,37207,37207,17588,19619,37207,36394,29951,1083,42,4506,0,137,675,813,513,85,22,0,0,136,57
"02102186","86000US02186","ZCTA5 02186","ZCTA5 02186","us","860","00","ACSSF","0011094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02186",,,,,,,,,,,,,27568,27568,12972,14596,27568,26699,19970,4084,44,1787,0,42,772,869,449,43,0,0,0,230,147
"02102188","86000US02188","ZCTA5 02188","ZCTA5 02188","us","860","00","ACSSF","0011095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02188",,,,,,,,,,,,,15287,15287,7497,7790,15287,14731,11869,1416,48,969,0,188,241,556,330,0,0,24,0,132,70
"02102189","86000US02189","ZCTA5 02189","ZCTA5 02189","us","860","00","ACSSF","0011096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02189",,,,,,,,,,,,,15603,15603,7060,8543,15603,14998,13249,931,0,516,0,0,302,605,310,75,0,19,0,104,97
"02102190","86000US02190","ZCTA5 02190","ZCTA5 02190","us","860","00","ACSSF","0011097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02190",,,,,,,,,,,,,17196,17196,8368,8828,17196,16739,14758,403,0,1140,0,58,380,457,361,26,27,0,0,43,0
"02102191","86000US02191","ZCTA5 02191","ZCTA5 02191","us","860","00","ACSSF","0011098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02191",,,,,,,,,,,,,8298,8298,4000,4298,8298,8167,7503,61,0,531,0,9,63,131,124,0,0,0,0,7,0
"02102199","86000US02199","ZCTA5 02199","ZCTA5 02199","us","860","00","ACSSF","0011099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"021","02199",,,,,,,,,,,,,1149,1149,446,703,1149,1096,756,0,0,340,0,0,0,53,53,0,0,0,0,0,0
"02202203","86000US02203","ZCTA5 02203","ZCTA5 02203","us","860","00","ACSSF","0011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"022","02203",,,,,,,,,,,,,25,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02202210","86000US02210","ZCTA5 02210","ZCTA5 02210","us","860","00","ACSSF","0011101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"022","02210",,,,,,,,,,,,,3196,3196,1882,1314,3196,3104,2617,131,0,258,0,0,98,92,44,37,0,0,0,0,11
"02202215","86000US02215","ZCTA5 02215","ZCTA5 02215","us","860","00","ACSSF","0011102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"022","02215",,,,,,,,,,,,,25619,25619,10900,14719,25619,22711,14947,1138,17,5486,0,44,1079,2908,1838,82,1,23,10,722,232
